target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_ul,quant_zero,co,log_quant,conc,log_conc,quant_rd
RPV,5,1,coinfection,0,0,low,1,1,11coinfectionlow1shoot,0.1597,0.0128,798.214,2,47.5,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,34.27772903666666,46014.84816489171,46014.84816489171,6573.549737841672,0,1,8.790809260524961,6919.526039833339,8.842102554912511,6574
RPV,5,1,coinfection,0,0,low,1,2,11coinfectionlow2shoot,0.1532,0.0133,746.368,2,45.4,2800,49.796860060958295,-3.144371795666668,2800,52.89612035071825,-3.4712520312962956,19,35.540507,99957.10464562879,99957.10464562879,14279.58637794697,0,1,9.566586270344313,15726.416715800628,9.663097170725157,14280
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,2226.790688602135,0,1,7.708316674785492,2196.0460439863264,7.6944137696165,2227
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,5100.460714719941,0,1,8.537086150851943,4885.498768888832,8.494026661391496,5100
RPV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.96534220333333,7250.575000276901,7250.575000276901,1035.796428610986,0,1,6.942925906031526,1063.4460252679526,6.969269881371128,1036
RPV,5,1,coinfection,0,1,P,2,3,21coinfectionP3shoot,0.0942,0.0148,622.46,1,47.2,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,35.60479990666666,35717.039356171554,35717.039356171554,5102.4341937387935,0,1,8.537472997734357,5405.120967943637,8.595102110570993,5102
RPV,5,1,coinfection,0,1,P,3,4,31coinfectionP4shoot,0.1573,0.0129,697.557,2,50.2,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,35.193927763333335,40172.236837990225,40172.236837990225,5738.890976855747,0,1,8.655021261039218,5716.026869378234,8.65102923976968,5739
RPV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,35.225569406666665,23965.73324160237,23965.73324160237,3423.676177371767,0,1,8.138470158423473,3410.036033238812,8.134478137153936,3424
RPV,5,1,coinfection,1,0,N,2,3,21coinfectionN3shoot,0.1361,0.0121,722.77,2,54.8,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,37.729934693333334,1670.4932916344771,1670.4932916344771,668.1973166537908,0,1,6.50458351413158,609.6690845381303,6.412916325605757,668
RPV,5,1,coinfection,1,0,N,3,4,31coinfectionN4shoot,0.1585,0.0111,675.06,2,48.4,28000,52.13787768317112,-3.5050912220000052,2800,51.016664544847124,-3.3567030586666666,28,34.91128667,62802.24286077786,62802.24286077786,8971.748980111122,0,1,9.10183591710683,9268.335723255292,9.134359108812392,8972
